i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,PowerEnJoy,2017-01-23,2017-11-10,0,0,,,,,,,
1.1,Development,2017-01-23,2017-11-10,0,0,0,,,,,,
1.1.1,"External APIs analisys",2017-01-23,2017-02-03,0,0,0,,,,,,blue2
1.1.2,"DBMS preparation",2017-02-06,2017-02-17,0,0,0,,,,,,blue2
1.1.3,"Model development",2017-02-20,2017-03-03,0,0,0,,,,,,blue2
1.1.4,"Car internal system development",2017-02-20,2017-03-17,0,0,0,,,,,,blue2
1.1.5,"Resource subsystem development",2017-03-13,2017-03-31,0,0,0,,,,,,blue2
1.1.6,"Code inspection",2017-04-03,2017-04-14,0,0,0,,,,,,blue2
1.1.7,"Uni tests",2017-04-17,2017-04-28,0,0,0,,,,,,blue2
1.1.8,"Integration testing",2017-05-01,2017-05-12,0,0,0,,,,,,blue2
1.1.9,"Application subsystem development",2017-05-08,2017-07-07,0,0,0,,,,,,blue2
1.1.10,"Code inspection",2017-06-12,2017-07-14,0,0,0,,,,,,blue2
1.1.11,"Unit tests",2017-07-17,2017-08-04,0,0,0,,,,,,blue2
1.1.12,"Integration testing",2017-08-07,2017-08-25,0,0,0,,,,,,blue2
1.1.13,"UI development",2017-08-21,2017-09-22,0,0,0,,,,,,blue2
1.1.14,"System testing",2017-08-28,2017-09-22,0,0,0,,,,,,blue2
1.1.15,"App development",2017-09-18,2017-10-13,0,0,0,,,,,,blue2
1.1.16,"Meeting with customers",2017-10-16,2017-10-16,0,0,0,,,,,,blue2
1.1.17,"Final revision",2017-10-17,2017-11-10,0,0,0,,,,,,blue2
