i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,PowerEnJoy,2017-08-28,2017-09-15,0,0,,,,,,,
1.1,Deployment,2017-08-28,2017-09-15,0,0,0,,,,,,
1.1.1,"System deployment",2017-08-28,2017-08-31,0,0,0,,,,,,blue2
1.1.2,"Teaching meetings with personnel ",2017-09-01,2017-09-05,0,0,0,,,,,,blue2
1.1.3,"System first start",2017-09-06,2017-09-08,0,0,0,,,,,,blue2
1.1.4,"Real-life simulation",2017-09-11,2017-09-15,0,0,0,,,,,,blue2
