i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,PowerEnJoy,2017-11-13,2017-12-22,0,0,,,,,,,
1.1,Deployment,2017-11-13,2017-12-08,0,0,0,,,,,,
1.1.1,"System deployment",2017-11-13,2017-11-17,0,0,0,,,,,,blue2
1.1.2,"Teaching meetings with personal ",2017-11-20,2017-11-24,0,0,0,,,,,,blue2
1.1.3,"Mobile phones distribution",2017-11-27,2017-11-30,0,0,0,,,,,,blue2
1.1.4,"Final meetings",2017-12-01,2017-12-08,0,0,0,,,,,,blue2
1.2,"Start Up",2017-12-11,2017-12-22,0,0,0,,,,,,
1.2.1,"System first start",2017-12-11,2017-12-15,0,0,0,,,,,,blue2
1.2.2,"Real-life simulation",2017-12-18,2017-12-22,0,0,0,,,,,,blue2
