i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,PowerEnJoy,2017-01-23,2017-08-25,0,0,,,,,,,
1.1,"Development-Code Inspection-Testing",2017-01-23,2017-08-25,0,0,0,,,,,,
1.1.1,"External APIs analisys",2017-01-23,2017-02-03,0,0,0,,,,,,blue2
1.1.2,"DBMS preparation",2017-02-06,2017-02-17,0,0,0,,,,,,blue2
1.1.3,"System development",2017-02-20,2017-06-30,0,0,0,,,,,,blue2
1.1.4,"Code inspection",2017-03-13,2017-07-20,0,0,0,,,,,,blue2
1.1.5,"Unit tests",2017-04-03,2017-07-28,0,0,0,,,,,,blue2
1.1.6,"Bug fixing",2017-04-12,2017-08-25,0,0,0,,,,,,blue2
1.1.7,"Integration testing",2017-05-22,2017-08-08,0,0,0,,,,,,blue2
1.1.8,"UI development",2017-07-03,2017-07-28,0,0,0,,,,,,blue2
1.1.9,"Client-side development",2017-07-03,2017-07-24,0,0,0,,,,,,blue2
1.1.10,"System testing",2017-07-25,2017-08-15,0,0,0,,,,,,blue2
1.1.11,"Meeting with customers",2017-08-16,2017-08-16,0,0,0,,,,,,blue2
1.1.12,"Final revision",2017-08-17,2017-08-25,0,0,0,,,,,,blue2
