i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,PowerEnJoy,2017-01-23,2017-11-10,0,0,,,,,,,
1.1,"Development-Code Inspection-Testing",2017-01-23,2017-11-10,0,0,0,,,,,,
1.1.1,"External APIs analisys",2017-01-23,2017-02-03,0,0,0,,,,,,blue2
1.1.2,"DBMS preparation",2017-02-06,2017-02-17,0,0,0,,,,,,blue2
1.1.3,"System development",2017-02-20,2017-07-14,0,0,0,,,,,,blue2
1.1.4,"Code inspection",2017-03-13,2017-07-28,0,0,0,,,,,,blue2
1.1.5,"Unit tests",2017-03-27,2017-08-11,0,0,0,,,,,,blue2
1.1.6,"Bug fixing",2017-03-27,2017-09-07,0,0,0,,,,,,blue2
1.1.7,"Integration testing",2017-08-01,2017-09-08,0,0,0,,,,,,blue2
1.1.8,"UI development",2017-08-28,2017-09-29,0,0,0,,,,,,blue2
1.1.9,"System testing",2017-09-04,2017-10-06,0,0,0,,,,,,blue2
1.1.10,"Client-side development",2017-09-18,2017-10-13,0,0,0,,,,,,blue2
1.1.11,"Meeting with customers",2017-10-16,2017-10-16,0,0,0,,,,,,blue2
1.1.12,"Final revision",2017-10-17,2017-11-10,0,0,0,,,,,,blue2
